brinkey label	brinkey ppn	brinkey ppn hierarchy	hierarchy depth
aardewerk	075598302	075598302	1
bestrijdingsmiddelen	075600919	075600919	1
antroposofie	075599295	075599295	1
euritmie	075605619	075599295,075605619	2
bestuurswetenschap	075600927	075600927	1
betalingsverkeer	075600935	075600935	1
geldverkeer	075606992	075600935,075606992	2
giraal betalingsverkeer	075607832	075600935,075607832	2
chipkaarten	185277225	075600935,185277225	2
apocalyps	075599333	075599333	1
accountancy	075598450	075598450	1
controleleer	075603438	075598450,075603438	2
jaarrekening	075660105	075598450,075660105	2
accountancy ; automatisering	075656558	075598450,075656558	2
bevolkingsregisters	075601001	075601001	1
aquaria	075599414	075599414	1
arbeiderszelfbestuur	075599465	075599465	1
bewapening	075601044	075601044	1
ruimtebewapening	075666839	075601044,075666839	2
kernbewapening	075611627	075601044,075611627	2
bewustzijnsverruiming	075601079	075601079	1
arbeidsinspectie	075599538	075599538	1
bibliografieën	075601133	075601133	1
nationale bibliografieën	075616203	075601133,075616203	2
ademhaling	075598523	075598523	1
bibliotheekbeheer	07560115X	07560115X	1
bibliotheekinrichting	075601168	075601168	1
ademhalingsorganen	07559854X	07559854X	1
bibliotheekwetenschap	075601184	075601184	1
catalogustechniek	075602628	075601184,075602628	2
titelbeschrijven	075624249	075601184,075624249	2
information retrieval	242836615	075601184,242836615	2
zoekmachines	291926940	075601184,242836615,291926940	3
bibliotheekwezen	075601206	075601206	1
interbibliothecair leenverkeer	075688875	075601206,075688875	2
bidprentjes	075601214	075601214	1
archeologie	075599635	075599635	1
Bijbelse archeologie	075602407	075599635,075602407	2
opgravingen	075617560	075599635,075617560	2
onderwaterarcheologie	07561698X	075599635,07561698X	2
stadsarcheologie	075664011	075599635,075664011	2
archeologie ; Nederland	075657031	075599635,075657031	2
archiefwetenschap	075599643	075599643	1
archieven	075599651	075599651	1
bedrijfsarchieven	075600358	075599651,075600358	2
architecten	07559966X	07559966X	1
adresboeken	075598612	075598612	1
biografie	075601311	075601311	1
autobiografie	075635011	075601311,075635011	2
hagiografie	234674717	075601311,234674717	2
artotheken	075599716	075599716	1
adverteren	075598647	075598647	1
biologie	075601346	075601346	1
antropobiologie	075599287	075601346,075599287	2
menskunde	075614960	075601346,075599287,075614960	3
beendergestel	075657341	075601346,075599287,075614960,075657341	4
bekken (anatomie)	243144229	075601346,075599287,075614960,075657341,243144229	5
kinesiologie	075680505	075601346,075599287,075680505	3
motoriek	075615835	075601346,075599287,075680505,075615835	4
linkshandigheid	395257972	075601346,075599287,075680505,075615835,395257972	5
astrobiologie	075599759	075601346,075599759	2
bloembiologie	075601494	075601346,075601494	2
dierkunde	075604140	075601346,075604140	2
beendergestel	075657341	075601346,075604140,075657341	3
bekken (anatomie)	243144229	075601346,075604140,075657341,243144229	4
vogelkunde	084826533	075601346,075604140,084826533	3
dierengenetica	246139242	075601346,075604140,246139242	3
jeugdboeken ; informatie - biologie	07560681X	075601346,07560681X	2
embryologie	075605236	075601346,075605236	2
ethologie	075605538	075601346,075605538	2
diergedrag	075651572	075601346,075605538,075651572	3
geobiologie	075607298	075601346,075607298	2
laboratoriumtechnieken	075612917	075601346,075612917	2
hydrobiologie	075609754	075601346,075609754	2
limnologie	162706189	075601346,075609754,162706189	3
menskunde	075614960	075601346,075614960	2
beendergestel	075657341	075601346,075614960,075657341	3
bekken (anatomie)	243144229	075601346,075614960,075657341,243144229	4
microbiologie	075615193	075601346,075615193	2
probiotica	333008200	075601346,075615193,333008200	3
sociobiologie	07562074X	075601346,07562074X	2
theoretische biologie	07562415X	075601346,07562415X	2
morfologie (biologie)	075661454	075601346,075661454	2
anatomie	075599082	075601346,075661454,075599082	3
dierenanatomie	07560406X	075601346,075661454,075599082,07560406X	4
pathologische anatomie	075662787	075601346,075661454,075599082,075662787	4
hersenanatomie	075609029	075601346,075661454,075599082,075609029	4
plantenanatomie	075618737	075601346,075661454,075599082,075618737	4
neuro-anatomie	075661691	075601346,075661454,075599082,075661691	4
biotechnologie	075654016	075601346,075654016	2
gentechnologie	217578365	075601346,075654016,217578365	3
klonen	07561216X	075601346,075654016,217578365,07561216X	4
synthetische biologie	39092833X	075601346,075654016,39092833X	3
biogeografie	075657643	075601346,075657643	2
plantengeografie	075662892	075601346,075657643,075662892	3
dierengeografie	075665840	075601346,075657643,075665840	3
celbiologie	075658046	075601346,075658046	2
chromosomen	075658178	075601346,075658046,075658178	3
celdood	26164419X	075601346,075658046,26164419X	3
lymfocyten	292486073	075601346,075658046,292486073	3
osmose	075662191	075601346,075658046,075662191	3
stamcellen	297128736	075601346,075658046,297128736	3
klinische biologie	075666529	075601346,075666529	2
taxonomie (biologie)	075672588	075601346,075672588	2
neurobiologie	102048169	075601346,102048169	2
parasitologie	07561815X	075601346,07561815X	2
plantkunde	075618796	075601346,075618796	2
plantenanatomie	075618737	075601346,075618796,075618737	3
plantengenetica	246139412	075601346,075618796,246139412	3
paleobotanie	292336152	075601346,075618796,292336152	3
erfelijkheidsleer	153901284	075601346,153901284	2
DNA	075604248	075601346,153901284,075604248	3
eugenetica	075605600	075601346,153901284,075605600	3
chromosomen	075658178	075601346,153901284,075658178	3
RNA	075663430	075601346,153901284,075663430	3
gentechnologie	217578365	075601346,153901284,217578365	3
klonen	07561216X	075601346,153901284,217578365,07561216X	4
dierengenetica	246139242	075601346,153901284,246139242	3
plantengenetica	246139412	075601346,153901284,246139412	3
genexpressie	277957672	075601346,153901284,277957672	3
antropogenetica	267104944	075601346,153901284,267104944	3
erfelijke ziekten	153900660	075601346,153901284,267104944,153900660	4
jeugd-software ; informatie - biologie	163119007	075601346,163119007	2
biologie ; woordenboeken	202947890	075601346,202947890	2
moleculaire biologie	075652196	075601346,075652196	2
ontwikkelingsbiologie	24182625X	075601346,24182625X	2
embryologie	075605236	075601346,24182625X,075605236	3
vitaminen (biologie)	075664917	075601346,075664917	2
aforisme	07559868X	07559868X	1
astrologie	075599783	075599783	1
horoscopen	075609398	075599783,075609398	2
sterrenbeelden (astrologie)	075622998	075599783,075622998	2
medische astrologie	075661217	075599783,075661217	2
psychologische astrologie	075663163	075599783,075663163	2
voorspellende astrologie	075665093	075599783,075665093	2
astronomie	075599791	075599791	1
astrobiologie	075599759	075599791,075599759	2
astrochemie	075599767	075599791,075599767	2
astrofysica	075599775	075599791,075599775	2
atmosfeer	075599872	075599791,075599872	2
kometen	075612321	075599791,075612321	2
melkwegstelsels	075614936	075599791,075614936	2
meteoren	075615096	075599791,075615096	2
meteorieten	07561510X	075599791,07561510X	2
radioastronomie	075619954	075599791,075619954	2
sterren	07562298X	075599791,07562298X	2
interstellaire materie	195152700	075599791,07562298X,195152700	3
zon	075628554	075599791,07562298X,075628554	3
neutronensterren	291274978	075599791,07562298X,291274978	3
manen	075614375	075599791,075614375	2
maan	406332118	075599791,075614375,406332118	3
planeten	075618702	075599791,075618702	2
aarde	075598299	075599791,075618702,075598299	3
aardkorst	075598361	075599791,075618702,075598299,075598361	4
Mars (planeet)	242136559	075599791,075618702,242136559	3
planetoïden	075618710	075599791,075618710	2
interstellaire materie	195152700	075599791,195152700	2
zonnestelsels	075628570	075599791,075628570	2
Mars (planeet)	242136559	075599791,242136559	2
zwarte gaten	331358077	075599791,331358077	2
aforismen	075598698	075598698	1
afstandsbesturing	075598701	075598701	1
bloedsomloop	075601451	075601451	1
agglomeraties	075598736	075598736	1
agogie	075598744	075598744	1
andragogie	075599104	075598744,075599104	2
bloedtransfusie	075601478	075601478	1
agologie	075598752	075598752	1
andragologie	075599112	075598752,075599112	2
pedagogiek	075618389	075598752,075618389	2
orthopedagogiek	075617749	075598752,075618389,075617749	3
sociale pedagogiek	075622041	075598752,075618389,075622041	3
pesten	207229090	075598752,075618389,075622041,207229090	4
bloembollen	075601508	075601508	1
bloemen	075601516	075601516	1
droogbloemen	075604604	075601516,075604604	2
snijbloemen	075663740	075601516,075663740	2
alarminstallaties	075598795	075598795	1
alchemie	075598809	075598809	1
bloemenschikken	075601532	075601532	1
ikebana	075609878	075601532,075609878	2
automatisering	075599945	075599945	1
bibliotheekautomatisering	075601141	075599945,075601141	2
informatiemaatschappij	075599953	075599945,075599953	2
bedrijven ; automatisering	075657309	075599945,075657309	2
bestuur ; automatisering	075657457	075599945,075657457	2
overheid ; automatisering	075662574	075599945,075662574	2
automatisering ; woordenboeken	075665972	075599945,075665972	2
ziekenhuizen ; automatisering	075665719	075599945,075665719	2
boekhouden ; automatisering	075688026	075599945,075688026	2
Exact E-Account	145481212	075599945,075688026,145481212	3
accountancy ; automatisering	075656558	075599945,075656558	2
administratieve automatisering	075656604	075599945,075656604	2
handel ; automatisering	075659689	075599945,075659689	2
domotica	301045054	075599945,301045054	2
boekbanden	075601591	075601591	1
algemene geschiedenis	075598868	075598868	1
Byzantijnse rijk	075602466	075598868,075602466	2
kruistochten	075612607	075598868,075612607	2
middeleeuwen	075615290	075598868,075615290	2
Frankische Rijk	075606380	075598868,075615290,075606380	3
15e eeuw	075664895	075598868,075615290,075664895	3
nieuwe geschiedenis	075616564	075598868,075616564	2
Gouden Eeuw	07560809X	075598868,075616564,07560809X	3
16e eeuw	075665697	075598868,075616564,075665697	3
Beeldenstorm	075600528	075598868,075616564,075665697,075600528	4
17e eeuw	075665700	075598868,075616564,075665700	3
19e eeuw	075676508	075598868,075616564,075676508	3
18e eeuw	075656574	075598868,075616564,075656574	3
patriottentijd	38198477X	075598868,075616564,075656574,38198477X	4
15e eeuw	075664895	075598868,075616564,075664895	3
nieuwste geschiedenis	075616602	075598868,075616602	2
Koreaanse Oorlog	075612410	075598868,075616602,075612410	3
Wereldoorlog I	075627175	075598868,075616602,075627175	3
Wereldoorlog II	075627183	075598868,075616602,075627183	3
Wereldoorlog II ; Nederland	075665301	075598868,075616602,075627183,075665301	4
Hongerwinter	32854678X	075598868,075616602,075627183,075665301,32854678X	5
Wereldoorlog II ; verzet	07566531X	075598868,075616602,075627183,07566531X	4
Engelandvaarders	397023391	075598868,075616602,075627183,07566531X,397023391	5
Wereldoorlog II ; onderduik	075665328	075598868,075616602,075627183,075665328	4
Wereldoorlog II ; Nederlands Indië	075665336	075598868,075616602,075627183,075665336	4
Vietnamoorlog	075625970	075598868,075616602,075625970	3
Koude Oorlog	310706041	075598868,075616602,310706041	3
20e eeuw	075664542	075598868,075616602,075664542	3
21e eeuw	324094701	075598868,075616602,324094701	3
Joegoslavische burgeroorlog	408637374	075598868,075616602,408637374	3
renaissance ; geschiedenis	075620480	075598868,075620480	2
Verlichting (tijdperk)	075625687	075598868,075625687	2
Frankische Rijk	075606380	075598868,075606380	2
prehistorie	075619385	075598868,075619385	2
bronstijd	075602121	075598868,075619385,075602121	3
ijzertijd	075627949	075598868,075619385,075627949	3
steentijd	075622890	075598868,075619385,075622890	3
Tachtigjarige Oorlog	075623595	075598868,075623595	2
Osmaanse rijk	155484540	075598868,155484540	2
volksverhuizingen	075626446	075598868,075626446	2
Bourgondische rijk	392811839	075598868,392811839	2
oude geschiedenis	075684381	075598868,075684381	2
Klassieke Oudheid	075611961	075598868,075684381,075611961	3
Griekse Oudheid	075608294	075598868,075684381,075611961,075608294	4
hellenisme	075608936	075598868,075684381,075611961,075608294,075608936	5
Romeinse Rijk	075620774	075598868,075684381,075611961,075620774	4
Moesia Prima (province)	416232140	075598868,075684381,075611961,075620774,416232140	5
Egyptische Oudheid	075604906	075598868,075684381,075604906	3
boekbinden	075601605	075601605	1
automobilisme	075599988	075599988	1
alleenstaanden	075598892	075598892	1
ongehuwde moeders	075617102	075598892,075617102	2
weduwen	075626993	075598892,075626993	2
weduwnaars	075627019	075598892,075627019	2
almanakken	075598914	075598914	1
boekpromotie	075601664	075601664	1
babyverzorging	075600072	075600072	1
boerenopstanden	075601699	075601699	1
ambachten	075598965	075598965	1
ambachten ; geschiedenis	075656825	075598965,075656825	2
ambassades	075598973	075598973	1
analfabetisme	075599031	075599031	1
anesthesiologie	075599120	075599120	1
angsten	075599147	075599147	1
faalangst	075659018	075599147,075659018	2
fobieën	075606240	075599147,075606240	2
corrosie	075603454	075603454	1
counseling	075603470	075603470	1
creativiteit	075603497	075603497	1
crematie	075603500	075603500	1
antennes	07559918X	07559918X	1
criminaliteit	075603527	075603527	1
corruptie	075603462	075603527,075603462	2
diefstal	075604000	075603527,075604000	2
kunstroof	357306945	075603527,075604000,357306945	3
jeugdcriminaliteit	075610760	075603527,075610760	2
kunstvervalsing	07561281X	075603527,07561281X	2
ontvoeringen	075617196	075603527,075617196	2
inbraken	075609924	075603527,075609924	2
oorlogsmisdaden	075617285	075603527,075617285	2
zedendelicten	075628023	075603527,075628023	2
verkrachtingen	075625652	075603527,075628023,075625652	3
seksueel geweld	075671883	075603527,075628023,075671883	3
verkrachtingen	075625652	075603527,075628023,075671883,075625652	4
incest	075652986	075603527,075628023,075652986	3
zeeroverij	075628171	075603527,075628171	2
verkeersdelicten	075625555	075603527,075625555	2
criminaliteit ; slachtoffers	075658410	075603527,075658410	2
economische delicten	075658747	075603527,075658747	2
vandalisme	07566979X	075603527,07566979X	2
georganiseerde misdaad	075688085	075603527,075688085	2
kapingen	075611309	075603527,075611309	2
vrouwenhandel	085992798	075603527,085992798	2
moorden	075615711	075603527,075615711	2
milieucriminaliteit	152399739	075603527,152399739	2
mensenhandel	239638948	075603527,239638948	2
vrouwenhandel	085992798	075603527,239638948,085992798	3
stalking	26314349X	075603527,26314349X	2
misdrijven tegen de mensheid	29740881X	075603527,29740881X	2
eerwraak	298083566	075603527,298083566	2
recidive	308000978	075603527,308000978	2
smokkelhandel	402330226	075603527,402330226	2
criminaliteit ; preventie	380107104	075603527,380107104	2
computercriminaliteit	075688921	075603527,075688921	2
criminaliteit ; medeplichtigheid	410612103	075603527,410612103	2
Test Brinkman 044Aa	382741897	075603527,382741897	2
criminologie	075603535	075603535	1
crisiscentra	075603543	075603543	1
cartoons	075602598	075602598	1
antichrist	07559921X	07559921X	1
catalogi	07560261X	07560261X	1
muziekcatalogi	075661500	07560261X,075661500	2
bibliotheekcatalogi	07565752X	07560261X,07565752X	2
kunstcatalogi	07566061X	07560261X,07566061X	2
postzegelcatalogi	075663023	07560261X,075663023	2
productcatalogi	075663112	07560261X,075663112	2
veilingcatalogi	075676982	07560261X,075676982	2
uitgeverscatalogi	075664569	07560261X,075664569	2
antiquariaatscatalogi	374639280	07560261X,374639280	2
anticonceptie	075599228	075599228	1
antiek	075599236	075599236	1
antimilitarisme	075599244	075599244	1
dienstweigering	075604027	075599244,075604027	2
catechismus	075602644	075602644	1
celibaat	075602660	075602660	1
bacteriologie	075600099	075600099	1
curiosa	075603616	075603616	1
cybernetica	075603624	075603624	1
charismatische bewegingen	075602733	075602733	1
chemie	07560275X	07560275X	1
biochemie	07560129X	07560275X,07560129X	2
DNA	075604248	07560275X,07560129X,075604248	3
RNA	075663430	07560275X,07560129X,075663430	3
membranen	189868236	07560275X,07560129X,189868236	3
moleculaire biologie	075652196	07560275X,07560129X,075652196	3
astrochemie	075599767	07560275X,075599767	2
analytische chemie	07559904X	07560275X,07559904X	2
spectroscopie	075663864	07560275X,07559904X,075663864	3
massaspectrometrie	241503647	07560275X,07559904X,075663864,241503647	4
chromatografie	075653451	07560275X,07559904X,075653451	3
anorganische chemie	075599171	07560275X,075599171	2
geochemie	075607301	07560275X,075607301	2
experimentele chemie	075605775	07560275X,075605775	2
laboratoriumtechnieken	075612917	07560275X,075612917	2
organische chemie	075617668	07560275X,075617668	2
koolstofverbindingen	075660474	07560275X,075617668,075660474	3
koolwaterstoffen	075660490	07560275X,075617668,075660490	3
oplosmiddelen	075682656	07560275X,075617668,075682656	3
aminozuren	07565685X	07560275X,075617668,07565685X	3
supramoleculaire chemie	265436885	07560275X,075617668,265436885	3
elektrochemie	07560504X	07560275X,07560504X	2
colloïdchemie	075658216	07560275X,075658216	2
stikstof	075664054	07560275X,075664054	2
kristalchemie	075660598	07560275X,075660598	2
polymerisatie	075662981	07560275X,075662981	2
kwantumchemie	075663198	07560275X,075663198	2
radiochemie	075663228	07560275X,075663228	2
theoretische chemie	075676818	07560275X,075676818	2
toegepaste chemie	075676826	07560275X,075676826	2
chemische technologie	075602792	07560275X,075676826,075602792	3
membranen	189868236	07560275X,075676826,075602792,189868236	4
farmacologie	075605902	07560275X,075676826,075605902	3
geneesmiddelen	075607220	07560275X,075676826,075605902,075607220	4
antibiotica	075599201	07560275X,075676826,075605902,075607220,075599201	5
natuurgeneesmiddelen	075616262	07560275X,075676826,075605902,075607220,075616262	5
geneeskrachtige kruiden	075607190	07560275X,075676826,075605902,075607220,075616262,075607190	6
cytostatica	075658437	07560275X,075676826,075605902,075607220,075658437	5
geneesmiddelen ; bijwerkingen	075661209	07560275X,075676826,075605902,075607220,075661209	5
kalmeringsmiddelen	075611104	07560275X,075676826,075605902,075607220,075611104	5
psychofarmaca	291944671	07560275X,075676826,075605902,075607220,291944671	5
kalmeringsmiddelen	075611104	07560275X,075676826,075605902,075607220,291944671,075611104	6
homeopathische geneesmiddelen	075659778	07560275X,075676826,075605902,075607220,075659778	5
doping	075604434	07560275X,075676826,075605902,075604434	4
drug targeting	29233012X	07560275X,075676826,075605902,29233012X	4
farmacokinetiek	29887718X	07560275X,075676826,075605902,29887718X	4
toxicologie	075625512	07560275X,075676826,075625512	3
milieutoxicologie	134940741	07560275X,075676826,075625512,134940741	4
klinische chemie	075666537	07560275X,075676826,075666537	3
dioxines	11559535X	07560275X,075676826,11559535X	3
pcb's	115595988	07560275X,075676826,115595988	3
petrochemie	075618591	07560275X,075676826,075618591	3
fysische chemie	075606615	07560275X,075606615	2
grensvlakchemie	16078638X	07560275X,075606615,16078638X	3
membranen	189868236	07560275X,075606615,189868236	3
osmose	075662191	07560275X,075606615,075662191	3
grensvlakchemie	16078638X	07560275X,16078638X	2
katalyse	15438125X	07560275X,15438125X	2
chemometrie	234658673	07560275X,234658673	2
milieuchemie	258970537	07560275X,258970537	2
fotochemie	075659093	07560275X,075659093	2
fotosynthese	075655047	07560275X,075659093,075655047	3
luminescentie	242732836	07560275X,075659093,242732836	3
supramoleculaire chemie	265436885	07560275X,265436885	2
vaste-stofchemie	075664631	07560275X,075664631	2
organometaalchemie	270934669	07560275X,270934669	2
defensie	075603721	075603721	1
bakkerijen	075600137	075600137	1
banketbakkerijen	075600226	075600137,075600226	2
democratie	075603780	075603780	1
demografie	075603799	075603799	1
bevolkingsstatistiek	07560101X	075603799,07560101X	2
bevolkingsvraagstuk	075601028	075603799,075601028	2
beroepsbevolking	075600846	075603799,075600846	2
overbevolking	075617838	075603799,075617838	2
verstedelijking	075625822	075603799,075625822	2
volkstellingen	075626438	075603799,075626438	2
kindersterfte	235698598	075603799,235698598	2
bevolkingsdaling	356293319	075603799,356293319	2
vergrijzing	075684713	075603799,075684713	2
ballistiek	07560017X	07560017X	1
depressiviteit	075603829	075603829	1
postnatale depressie	080698603	075603829,080698603	2
derde wereld	075603845	075603845	1
diaconaat	075603888	075603888	1
dialectiek	075603896	075603896	1
circussen	075602997	075602997	1
dianetics	075603934	075603934	1
diaprojectie	075603942	075603942	1
citatenverzamelingen	075603012	075603012	1
dictatuur	075603969	075603969	1
totalitarisme	075624397	075603969,075624397	2
civiele verdediging	075603039	075603039	1
dienstplicht	075604019	075604019	1
classificaties	075603055	075603055	1
bedevaarten	075600331	075600331	1
diepvriezen	075604051	075604051	1
communicatiemedia	075603128	075603128	1
computernetwerken	075603209	075603128,075603209	2
internet	124140912	075603128,075603209,124140912	3
elektronische post	164139699	075603128,075603209,124140912,164139699	4
Outlook Express	205439446	075603128,075603209,124140912,164139699,205439446	5
TCP/IP	180004700	075603128,075603209,124140912,180004700	4
websites	241679966	075603128,075603209,124140912,241679966	4
CSS	274162636	075603128,075603209,124140912,241679966,274162636	5
weblogs	288870182	075603128,075603209,124140912,241679966,288870182	5
Adobe Creative Suite	305955403	075603128,075603209,124140912,241679966,305955403	5
WordPress	375441891	075603128,075603209,124140912,241679966,375441891	5
Microsoft .NET	242660312	075603128,075603209,124140912,242660312	4
domeinnamen	263140016	075603128,075603209,124140912,263140016	4
zoekmachines	291926940	075603128,075603209,124140912,291926940	4
Novell NetWare	15417677X	075603128,075603209,15417677X	3
intranet	16391110X	075603128,075603209,16391110X	3
TCP/IP	180004700	075603128,075603209,16391110X,180004700	4
TCP/IP	180004700	075603128,075603209,180004700	3
massamedia	075652927	075603128,075652927	2
audiovisuele media	075599899	075603128,075652927,075599899	3
televisie	075636697	075603128,075652927,075599899,075636697	4
kabeltelevisie	075636719	075603128,075652927,075599899,075636697,075636719	5
satelliettelevisie	075663554	075603128,075652927,075599899,075636697,075663554	5
schooltelevisie	075621436	075603128,075652927,075599899,075636697,075621436	5
films	075606143	075603128,075652927,075599899,075606143	4
documentaire films	075604256	075603128,075652927,075599899,075606143,075604256	5
geluidsfilms	075607093	075603128,075652927,075599899,075606143,075607093	5
griezelfilms	075608332	075603128,075652927,075599899,075606143,075608332	5
oorlogsfilms	075617277	075603128,075652927,075599899,075606143,075617277	5
speelfilms	075622386	075603128,075652927,075599899,075606143,075622386	5
wetenschappelijke films	075627396	075603128,075652927,075599899,075606143,075627396	5
pornografische films	075619180	075603128,075652927,075599899,075606143,075619180	5
sciencefiction- en fantasyfilms	075621495	075603128,075652927,075599899,075606143,075621495	5
stomme films	075623110	075603128,075652927,075599899,075606143,075623110	5
animatiefilms	07562379X	075603128,075652927,075599899,075606143,07562379X	5
radioprogramma's	075620006	075603128,075652927,075620006	3
televisie	075636697	075603128,075652927,075636697	3
kabeltelevisie	075636719	075603128,075652927,075636697,075636719	4
satelliettelevisie	075663554	075603128,075652927,075636697,075663554	4
schooltelevisie	075621436	075603128,075652927,075636697,075621436	4
films	075606143	075603128,075652927,075606143	3
documentaire films	075604256	075603128,075652927,075606143,075604256	4
geluidsfilms	075607093	075603128,075652927,075606143,075607093	4
griezelfilms	075608332	075603128,075652927,075606143,075608332	4
oorlogsfilms	075617277	075603128,075652927,075606143,075617277	4
speelfilms	075622386	075603128,075652927,075606143,075622386	4
wetenschappelijke films	075627396	075603128,075652927,075606143,075627396	4
pornografische films	075619180	075603128,075652927,075606143,075619180	4
sciencefiction- en fantasyfilms	075621495	075603128,075652927,075606143,075621495	4
stomme films	075623110	075603128,075652927,075606143,075623110	4
animatiefilms	07562379X	075603128,075652927,075606143,07562379X	4
jeugd en massamedia	075690322	075603128,075652927,075690322	3
kranten	11140939X	075603128,075652927,11140939X	3
dagbladen	111409713	075603128,075652927,11140939X,111409713	4
televisieprogramma's	075623943	075603128,075652927,075623943	3
tijdschrift	375226877	075603128,075652927,375226877	3
sociale media	332995682	075603128,332995682	2
twitters	330034065	075603128,332995682,330034065	3
Facebook	363551913	075603128,332995682,363551913	3
dierenbescherming	075604078	075604078	1
communicatietheorie	075603136	075603136	1
compressoren	075603179	075603179	1
computertoepassingen	075603195	075603195	1
computers in het onderwijs	075658275	075603195,075658275	2
robotica	075663449	075603195,075663449	2
computerkunst	075676214	075603195,075676214	2
spraak (computertechniek)	096044020	075603195,096044020	2
multimedia	12160800X	075603195,12160800X	2
Director	227492722	075603195,12160800X,227492722	3
Windows Media Player	321840178	075603195,12160800X,321840178	3
HTML	14821262X	075603195,14821262X	2
scanning	189090367	075603195,189090367	2
XML	202571564	075603195,202571564	2
SGML	202575306	075603195,202575306	2
XHTML	222463341	075603195,222463341	2
3D-printen	387520082	075603195,387520082	2
computersimulatie	075684659	075603195,075684659	2
desktop publishing	075684888	075603195,075684888	2
Ventura	075687097	075603195,075684888,075687097	3
Adobe Pagemaker	164130969	075603195,075684888,164130969	3
Adobe InDesign	207360200	075603195,075684888,207360200	3
Publisher	207360618	075603195,075684888,207360618	3
QuarkXPress	216411173	075603195,075684888,216411173	3
PDF	286856646	075603195,075684888,286856646	3
automatisch vertalen	075688883	075603195,075688883	2
patroonherkenning	096947381	075603195,096947381	2
bedrijfskunde	075600412	075600412	1
ondernemerschap	202424693	075600412,202424693	2
maatschappelijk verantwoord ondernemen	292009585	075600412,202424693,292009585	3
zelfstandigen zonder personeel	320393283	075600412,202424693,320393283	3
ondernemingsbestuur	292394365	075600412,292394365	2
bedrijfsverzelfstandiging	078926653	075600412,078926653	2
computerprogramma's	075603217	075603217	1
microcomputers ; software	075661268	075603217,075661268	2
Norton Utilities	075687100	075603217,075687100	2
geïntegreerde software	075690381	075603217,075690381	2
Office	159039878	075603217,075690381,159039878	3
WordPerfect Office	164161872	075603217,075690381,164161872	3
Lotus SmartSuite	184828295	075603217,075690381,184828295	3
Office 2000	20262823X	075603217,075690381,20262823X	3
Office 95	202625826	075603217,075690381,202625826	3
Office 97	202626261	075603217,075690381,202626261	3
Works	217666884	075603217,075690381,217666884	3
Office XP	229378544	075603217,075690381,229378544	3
Office 2003	256120064	075603217,075690381,256120064	3
Office 2004	298741369	075603217,075690381,298741369	3
Office 2008	310911796	075603217,075690381,310911796	3
Office 2010	329335685	075603217,075690381,329335685	3
Office 2011	334612969	075603217,075690381,334612969	3
Adobe Creative Cloud	397136560	075603217,075690381,397136560	3
Framework	075688565	075603217,075690381,075688565	3
Symphony	075688905	075603217,075690381,075688905	3
Office 2007	302238050	075603217,075690381,302238050	3
Adobe Creative Suite	305955403	075603217,075690381,305955403	3
SharePoint	329835645	075603217,075690381,329835645	3
Office 365	355344319	075603217,075690381,355344319	3
Office 2013	357754484	075603217,075690381,357754484	3
Office 2016	399876367	075603217,075690381,399876367	3
OpenOffice	400798921	075603217,075690381,400798921	3
Google Analytics	407341277	075603217,075690381,407341277	3
bestandsprogramma's	07569039X	075603217,07569039X	2
Clipper	113629761	075603217,07569039X,113629761	3
Access	14687899X	075603217,07569039X,14687899X	3
Access 97	181911906	075603217,07569039X,181911906	3
Oracle	170067335	075603217,07569039X,170067335	3
Access 2000	195136322	075603217,07569039X,195136322	3
Access 2002	227394607	075603217,07569039X,227394607	3
MySQL	22937932X	075603217,07569039X,22937932X	3
Access 2003	25896118X	075603217,07569039X,25896118X	3
Access 2007	299620123	075603217,07569039X,299620123	3
Access 2010	329157531	075603217,07569039X,329157531	3
Access 2016	402185994	075603217,07569039X,402185994	3
dBase	075678349	075603217,07569039X,075678349	3
Reflex	075689014	075603217,07569039X,075689014	3
Access 2013	37554674X	075603217,07569039X,37554674X	3
spreadsheetprogramma's	075690403	075603217,075690403	2
Excel	075689677	075603217,075690403,075689677	3
Multiplan	075690128	075603217,075690403,075690128	3
PC-CALC	075690136	075603217,075690403,075690136	3
Excel 97	181918927	075603217,075690403,181918927	3
Excel 2000	202624919	075603217,075690403,202624919	3
Excel 2002	229713793	075603217,075690403,229713793	3
Excel 2003	258655690	075603217,075690403,258655690	3
Excel 2007	299620093	075603217,075690403,299620093	3
Lotus 1-2-3	075678365	075603217,075690403,075678365	3
PlanPerfect	075688433	075603217,075690403,075688433	3
Quattro	075688573	075603217,075690403,075688573	3
Excel 2010	327939338	075603217,075690403,327939338	3
Excel 2013	355344513	075603217,075690403,355344513	3
Excel 2016	400336979	075603217,075690403,400336979	3
grafische programma's	075690411	075603217,075690411	2
Ventura	075687097	075603217,075690411,075687097	3
CorelDRAW!	124830153	075603217,075690411,124830153	3
PowerPoint	146878019	075603217,075690411,146878019	3
WordPerfect Presentations	164162224	075603217,075690411,164162224	3
PowerPoint 97	181779870	075603217,075690411,181779870	3
Adobe Photoshop	162700369	075603217,075690411,162700369	3
Adobe Pagemaker	164130969	075603217,075690411,164130969	3
Adobe Illustrator	182887774	075603217,075690411,182887774	3
Photo-Paint	191850055	075603217,075690411,191850055	3
PhotoDraw	191850616	075603217,075690411,191850616	3
Flash 4	20217803X	075603217,075690411,20217803X	3
Paint Shop Pro	202178382	075603217,075690411,202178382	3
Powerpoint 2000	202624161	075603217,075690411,202624161	3
