eur-oai-repub.eur.nl-100016;410603783;75657260;;;;
;228055113;14543320X;;;;
;230049753;75615193;;;;
;343048620;75609584;;;;
;382719301;370853911;;;;
uu-oai-dspace.library.uu.nl-1874_9365;294237941;75659921;;;;
;240932072;85911453;;;;
;338237895;07561135X;;;;
uu-oai-dspace.library.uu.nl-1874_22975;30478138X;406332118;;;;
;215703022;75599856;;;;
ul-oai-openaccess.leidenuniv.nl-1887_3740;29051682X;75614936;;;;
rug-oai-pure.rug.nl-publications_cf13f0bf-656a-4581-b6e5-9c7f85023a11;398751854;323940382;;;;
;377038555;07560051X;;;;
uu-oai-dspace.library.uu.nl-1874_179067;337229902;194449335;;;;
;217238971;215174062;;;;
rug-oai-pure.rug.nl-publications_e773e0a5-d785-45bf-882b-81cd9203b191;411228560;75665980;;;;
;296408190;13705601X;;;;
;236151118;75648598;;;;
;239456750;75662914;;;;
;264575776;75664623;;;;
;274421119;75658283;;;;
;287554058;75663201;;;;
;269245154;07568523X;;;;
;310804981;75679779;;;;
;254068286;75661152;;;;
;26460394X;75627817;;;;
;300900325;242233414;;;;
uu-oai-dspace.library.uu.nl-1874_247;262482479;75618761;;;;
;298102129;88165566;;;;
rug-oai-pure.rug.nl-publications_0da66ea3-e6e9-4925-95b2-a5ae8211d78b;418981485;75688883;;;;
;24304769X;75659670;;;;
;397742355;75617757;;;;
;255745192;75608774;;;;
;267818653;75618729;;;;
;396542379;75604795;;;;
;322909201;75660199;;;;
;227933184;75660903;;;;
;216582326;75657775;;;;
;227760395;75610086;;;;
;229866522;75660598;;;;
;37017089X;75607301;;;;
;380121018;75664402;;;;
;296080802;75624176;;;;
rug-oai-pure.rug.nl-publications_645e4ee6-54f4-4e2f-b05d-51ea7cc490c6;397905424;75614936;;;;
;315446293;75616513;;;;
;234621672;75688913;;;;
;305139118;323940382;;;;
tud-oai-tudelft.nl-uuid-4b40de96-670a-4d45-bda9-554a9c8fa2e4;282996133;239541189;;;;
tud-oai-tudelft.nl-uuid-8615fc47-4c17-4f41-8456-4b042bdf526d;413969282;75609746;;;;
;355055694;75599503;;;;
;358209951;07566643X;;;;
;406521018;75617250;;;;
rug-oai-pure.rug.nl-publications_1fde8c46-3c3f-4d36-a60f-ac93e62f64bd;392709945;07566013X;;;;
;413238385;07561765X;;;;
;245547452;75623595;;;;
;339847379;75665506;;;;
rug-oai-pure.rug.nl-publications_228e3431-e255-484d-96db-1b8b5f89b6f5;413390187;267797737;;;;
;383732484;75663384;;;;
eur-oai-repub.eur.nl-20833;296018155;75601486;;;;
;213343703;75661632;;;;
;374747407;07561653X;;;;
;264186958;75619792;;;;
;246015713;29887718X;;;;
;272597724;75614766;;;;
;416503128;07560051X;;;;
;270452923;75659093;;;;
ul-oai-openaccess.leidenuniv.nl-1887_4292;291257283;75607360;;;;
;288985281;75678985;;;;
rug-oai-pure.rug.nl-publications_07799103-f3aa-4ffb-bb3d-0becc443140c;238687287;75613832;;;;
rug-oai-pure.rug.nl-publications_9196e19c-b133-40bc-bf1e-a7fdd3e44ab2;412864290;75617668;;;;
;32932196X;174882149;;;;
tud-oai-tudelft.nl-uuid-fbdc5fd5-ca6d-483c-83ec-65aabb40398e;215868196;122338634;;;;
;229306217;75677865;;;;
;213271222;75659093;;;;
;268254621;07565685X;;;;
;331215322;75599910;;;;
;395285240;75598450;;;;
;297528254;153901284;;;;
wur-oai-library.wur.nl-wurpubs_110996;235210277;07563841X;;;;
eur-oai-repub.eur.nl-51677;264428854;75677857;;;;
rug-oai-pure.rug.nl-publications_29cb48f4-1b1d-4020-860e-fd30d18f3ab4;269273212;75617633;;;;
;393520536;101873360;;;;
uu-oai-dspace.library.uu.nl-1874_878;241474000;126297290;;;;
rug-oai-pure.rug.nl-publications_4a91c00f-ee9a-4f73-87ca-6aa4a1fe2ee5;381081559;301045054;;;;
;255738285;96044020;;;;
ul-oai-openaccess.leidenuniv.nl-1887_561;249972999;29139731X;;;;
;395508436;75599511;;;;
;304210331;75685310;;;;
;318901277;75603209;;;;
;29103795X;75615738;;;;
;32500000X;07565976X;;;;
;269706801;75606852;;;;
;297108050;13705601X;;;;
;318882809;75620154;;;;
;323590225;75657260;;;;
ul-oai-openaccess.leidenuniv.nl-1887_35584;395960797;75605414;;;;
rug-oai-pure.rug.nl-publications_a641c07f-f4d8-4e4e-84d4-3a9de38c172e;410533645;75620863;;;;
;317372904;267797737;;;;
;270160930;75614146;;;;
;296356662;242597815;;;;
;255157444;75608774;;;;
rug-oai-pure.rug.nl-publications_b991381b-0ec1-4895-8a4d-738e4b8add17;418972494;75651696;;;;
;308409140;07998455X;;;;
;353249211;75659670;;;;
;391861999;07561653X;;;;
;333011163;27385576X;;;;
;241349397;216028701;;;;
;236344439;75611813;;;;
eur-oai-repub.eur.nl-76023;270519165;121730735;;;;
;298409011;244172382;;;;
wur-oai-library.wur.nl-wurpubs_340972;255971788;75658046;;;;
rug-oai-pure.rug.nl-publications_30121ea5-2e0c-44a8-92ee-f9d3c1c74bf0;213649284;07565685X;;;;
;408060433;07561037X;;;;
;41315680X;75660768;;;;
;328993298;75621959;;;;
;417625235;75652021;;;;
;242079229;75648539;;;;
;269254870;75599600;;;;
;297782568;75659700;;;;
ul-oai-openaccess.leidenuniv.nl-1887_4953;297531271;75616572;;;;
rug-oai-pure.rug.nl-publications_0787453c-ca91-49f6-8492-6ca5b6dce682;315241829;256181160;;;;
;304960624;75652196;;;;
;297028332;216028701;;;;
;238270882;07560504X;;;;
;289045541;75663147;;;;
;271412704;75659344;;;;
;397801092;75615266;;;;
;286818760;90998855;;;;
rug-oai-pure.rug.nl-publications_11a57c84-cdcf-416e-ad25-07bb244a9e9b;299374734;07561748X;;;;
;216911729;75677350;;;;
;405457987;75688921;;;;
;274787660;75625601;;;;
;295869321;75598558;;;;
;236124714;174882149;;;;
;291528589;75663449;;;;
;326513256;75602318;;;;
;317268716;75628341;;;;
rug-oai-pure.rug.nl-publications_b0896a71-a4ae-491f-bae6-74a473782be2;39775454X;75664062;;;;
eur-oai-repub.eur.nl-23631;234587067;311716482;;;;
;418017182;14543320X;;;;
;255183623;75620596;;;;
rug-oai-pure.rug.nl-publications_b43a7439-dbc8-4cfd-af56-6218fdd60838;270097678;75622548;;;;
;24093640X;246139412;;;;
;244832358;75608774;;;;
rug-oai-pure.rug.nl-publications_018f37cb-bcdf-4970-9fa5-3897ac69162e;374767440;90642074;;;;
