eur-oai-repub.eur.nl-100016;75657260;;;;
eur-oai-repub.eur.nl-1014;75627361;75661977;75666820;;
eur-oai-repub.eur.nl-101492;75656493;75636204;;;
eur-oai-repub.eur.nl-10157;75608774;;;;
eur-oai-repub.eur.nl-10200;75617870;75614545;;;
eur-oai-repub.eur.nl-10209;75652021;;;;
eur-oai-repub.eur.nl-102672;75657260;75656493;;;
eur-oai-repub.eur.nl-102673;07560289X;;;;
eur-oai-repub.eur.nl-10296;75652021;;;;
eur-oai-repub.eur.nl-1035;75661098;75658666;;;
eur-oai-repub.eur.nl-1037;07561765X;75657465;75614545;;
eur-oai-repub.eur.nl-1038;242632106;;;;
eur-oai-repub.eur.nl-1039;75599937;75619504;;;
eur-oai-repub.eur.nl-1040;75664321;07561765X;;;
eur-oai-repub.eur.nl-1041;75615908;75610388;75665360;;
eur-oai-repub.eur.nl-10418;75660938;75603853;;;
eur-oai-repub.eur.nl-1042;202424693;75614545;75657465;;
eur-oai-repub.eur.nl-1043;75600978;;;;
eur-oai-repub.eur.nl-10434;75624699;75610086;07561815X;;
eur-oai-repub.eur.nl-10473;75664909;75652021;;;
eur-oai-repub.eur.nl-10474;75677857;75658909;;;
eur-oai-repub.eur.nl-10479;75613786;75611791;;;
eur-oai-repub.eur.nl-10483;75677350;159340721;;;
eur-oai-repub.eur.nl-10488;291429092;;;;
eur-oai-repub.eur.nl-10500;75648539;07566450X;;;
eur-oai-repub.eur.nl-10508;75624486;75652021;;;
eur-oai-repub.eur.nl-10510;75624486;75659352;;;
eur-oai-repub.eur.nl-10513;75613735;;;;
eur-oai-repub.eur.nl-10521;75666022;75623013;;;
eur-oai-repub.eur.nl-10523;75598558;75666316;;;
eur-oai-repub.eur.nl-105248;216389194;;;;
eur-oai-repub.eur.nl-10531;75644762;75673827;;;
eur-oai-repub.eur.nl-10553;121904644;07561748X;;;
eur-oai-repub.eur.nl-10564;298060728;;;;
eur-oai-repub.eur.nl-105790;75660180;75658488;;;
eur-oai-repub.eur.nl-105795;75658488;75661039;;;
eur-oai-repub.eur.nl-10599;121730735;;;;
eur-oai-repub.eur.nl-10600;75606844;75606828;75689863;;
eur-oai-repub.eur.nl-10634;07565881X;75658933;;;
eur-oai-repub.eur.nl-10635;75601486;75658003;;;
eur-oai-repub.eur.nl-10637;07566450X;;;;
eur-oai-repub.eur.nl-1069;159340721;75660199;;;
eur-oai-repub.eur.nl-10699;75604825;75665239;;;
eur-oai-repub.eur.nl-1071;07561765X;75657228;;;
eur-oai-repub.eur.nl-1072;75685752;75688395;75661322;;
eur-oai-repub.eur.nl-1073;75665255;07561331X;;;
eur-oai-repub.eur.nl-10755;75657775;07566450X;102367418;;
eur-oai-repub.eur.nl-10779;75657775;75659816;;;
eur-oai-repub.eur.nl-1086;75688409;75617757;18993588X;;
eur-oai-repub.eur.nl-1088;75622815;75633485;;;
eur-oai-repub.eur.nl-10895;75607999;75663368;;;
eur-oai-repub.eur.nl-10906;75658003;75679817;07565881X;;
eur-oai-repub.eur.nl-1094;75622653;75657163;;;
eur-oai-repub.eur.nl-1096;238924262;75677350;75660733;;
eur-oai-repub.eur.nl-10985;75623412;;;;
eur-oai-repub.eur.nl-1099;75661705;75618451;75615835;;
eur-oai-repub.eur.nl-1110;160789532;75620898;75628457;;
eur-oai-repub.eur.nl-1112;264781066;84789891;237788888;;
eur-oai-repub.eur.nl-1120;75617757;75680505;75677350;;
eur-oai-repub.eur.nl-1121;75598558;07560938X;75658909;75609002;
eur-oai-repub.eur.nl-11217;75628422;;;;
eur-oai-repub.eur.nl-1129;75614863;75675021;75635364;;
eur-oai-repub.eur.nl-1130;75637162;07560938X;75658895;;
eur-oai-repub.eur.nl-1133;75608804;75663325;;;
eur-oai-repub.eur.nl-11366;75608774;;;;
eur-oai-repub.eur.nl-1146;75657708;75658046;75658909;;
eur-oai-repub.eur.nl-1147;75617269;75688255;;;
eur-oai-repub.eur.nl-1148;75658488;75677350;75659476;;
eur-oai-repub.eur.nl-11512;153901284;75621797;;;
eur-oai-repub.eur.nl-1155;75680041;07566285X;;;
eur-oai-repub.eur.nl-1156;75665980;75652498;;;
eur-oai-repub.eur.nl-11610;75621290;75658933;;;
eur-oai-repub.eur.nl-11642;75616513;75615355;;;
eur-oai-repub.eur.nl-1165;75660784;75610124;75662604;;
eur-oai-repub.eur.nl-1168;75658909;75658046;;;
eur-oai-repub.eur.nl-1169;75677865;75627035;07566450X;;
eur-oai-repub.eur.nl-1170;75656590;75664909;75652021;;
eur-oai-repub.eur.nl-1173;75664062;75605902;;;
eur-oai-repub.eur.nl-1176;07565993X;75618974;;;
eur-oai-repub.eur.nl-1178;102367418;75666316;07560289X;75603691;
eur-oai-repub.eur.nl-11860;07560938X;153900660;;;
eur-oai-repub.eur.nl-1192;07568554X;75672596;;;
eur-oai-repub.eur.nl-1199;75624265;75614545;;;
eur-oai-repub.eur.nl-11990;75608014;;;;
eur-oai-repub.eur.nl-1201;75664402;75611481;;;
eur-oai-repub.eur.nl-12090;75658909;;;;
eur-oai-repub.eur.nl-12091;277957672;75663147;75652196;;
eur-oai-repub.eur.nl-12092;75658909;75605236;;;
eur-oai-repub.eur.nl-12093;75603772;;;;
