eur-oai-repub.eur.nl-100016;292394365;075617870;075600447;075680114;075600439;075657260;202424693;173554237;252074610;075600927;075621916;239541189;075600382;075608596;075620189;075663120;123281172;075612895;075616955;075614545;
eur-oai-repub.eur.nl-10209;075652021;075604094;075658046;075615193;075637162;075626012;075658003;102048169;075648547;075600099;075661705;370912136;075666529;292486073;216028701;075605902;075606593;075605384;180713000;158564022;
eur-oai-repub.eur.nl-102673;115151907;29139731X;237788888;075603691;075624486;075623080;267179693;07566450X;194449335;227408284;371085454;07566108X;323940382;07560146X;37834823X;075657147;323940382;075609045;075661039;075663139;
eur-oai-repub.eur.nl-10296;292486073;26164419X;297128736;075656892;075658895;075615622;139111301;07565685X;075658909;29153399X;189868236;075663430;277957672;277360307;258321415;075664062;075653370;075658437;242721591;22745944X;
eur-oai-repub.eur.nl-1038;075624435;242632106;075663856;075685396;075656868;075600382;176920315;075627825;292009585;075627825;369255208;07562351X;075676206;075627817;075647265;075605996;075606003;075627817;075659158;075614391;
eur-oai-repub.eur.nl-1043;075614677;075663856;075616343;075616343;075605783;075625504;075657627;075615134;075599066;075656868;07565766X;075620553;075606003;075627817;075657627;07565766X;07567923X;075624435;075646978;075605775;
eur-oai-repub.eur.nl-10488;075602318;075636204;07559899X;075602326;075617293;075623226;07562284X;075623218;186518420;075615452;190736542;075636212;07565797X;23524712X;075636565;07562799X;260279579;075618508;34164854X;075605856;
eur-oai-repub.eur.nl-10513;075603691;075609509;075610086;315396946;075661446;07560146X;075614146;075619814;075607492;075628422;075651696;075684349;075623080;241546575;075609045;24391041X;075628449;153900660;075624737;115151907;
eur-oai-repub.eur.nl-105248;075636786;216389194;075680114;216389194;075601737;216389194;075617463;075636786;306652005;075636786;09004147X;263313506;075627116;075614545;075608014;075617463;075636794;075627116;075610434;075612895;
eur-oai-repub.eur.nl-10564;075609290;075651564;375561277;075659905;075656590;121730735;075657716;23666865X;07562172X;075609045;075622580;075659441;075651696;075603691;075598558;075624613;075598906;075623552;194449335;189671599;
eur-oai-repub.eur.nl-10599;075605058;102367418;075605023;363409645;075664100;075619962;075673959;090642074;075604965;075614502;075604957;165977477;170063852;075620030;075614499;075605082;075605074;075663457;075665913;075598558;
eur-oai-repub.eur.nl-10637;297128736;292486073;07566450X;26164419X;075656892;075658909;297128736;277360307;31537800X;075623080;237788888;29153399X;292486073;22745944X;075658895;291506313;075668904;075657147;07560938X;075664062;
eur-oai-repub.eur.nl-10985;292486073;075656892;297128736;26164419X;075658909;277957672;075663430;277360307;075658895;07566450X;075615622;07565685X;29153399X;075668904;139111301;291506313;075664909;22745944X;237788888;075664062;
eur-oai-repub.eur.nl-11217;24182625X;075599287;07562074X;075621983;267104944;075666863;075659174;075666529;075658046;075665409;075657627;075605384;07565766X;075604787;075652196;075654016;075663856;07562415X;075615193;075604094;
eur-oai-repub.eur.nl-11990;075658550;075617870;075662604;075656809;075636786;075636565;075661322;07561538X;308329961;075662620;075603853;186518420;075612895;075605333;075600447;075617463;17691028X;075659980;075660008;292394365;
eur-oai-repub.eur.nl-12090;075666529;075612127;102048169;075652021;158564022;075604094;075605384;075599287;075657627;075661705;075637162;37834823X;075619806;075658593;370912136;075614863;075605902;393656896;075658046;204043565;
eur-oai-repub.eur.nl-12620;075619814;075609045;315396946;075651696;07568473X;241546575;075621290;075628422;075603691;075628449;075623080;075603772;155731181;075610086;075623552;075684349;075614146;264121368;155731181;075661446;
eur-oai-repub.eur.nl-13691;075684659;075686899;075617986;075603195;075611279;075611287;075659662;075605813;075659174;075658321;075608189;387365257;075658666;239885570;075671476;075661152;075610299;075608472;075598876;075659972;
eur-oai-repub.eur.nl-1378;241689473;292486073;075623080;075658895;07566450X;07566450X;075668904;075603691;075609045;075623080;075648539;075658437;075658895;075656590;075628333;075656892;075609045;075661705;189671599;075668904;
eur-oai-repub.eur.nl-13809;075609045;075619814;075603691;075623080;315396946;075651696;075652021;075610086;241546575;07568473X;075604094;075614146;075628422;075658046;075661446;07560146X;264121368;075668904;075615193;075637162;
eur-oai-repub.eur.nl-13814;075609045;075623552;075623080;155731181;075606828;15383580X;075656590;075622580;075606895;075635712;07562172X;075619814;075603772;075621290;075609045;315396946;331361752;341553352;075677857;264121368;
eur-oai-repub.eur.nl-14316;075610086;075603691;075652021;075619814;075661446;075604094;075658046;075623080;075615193;075609509;075637162;075626012;075614146;075658003;102048169;075651696;075648547;07560146X;075600099;075661705;
eur-oai-repub.eur.nl-14799;37834823X;075648547;07560289X;370853911;075660164;075658003;075608510;075665980;075651378;07564861X;075647621;075677504;075599120;227450655;075617250;075601419;075618818;216028701;075611791;121655849;
eur-oai-repub.eur.nl-1520;075663856;075685310;075658593;075616343;075600455;075613662;075606003;075660830;075625504;075598876;075617234;075611554;075622068;075620502;075604035;075612127;075607514;075659255;075609975;075646978;
eur-oai-repub.eur.nl-16165;075605902;075607204;075666529;075599740;075604094;075619806;07564861X;075604132;075666537;158564022;075599309;07560129X;075606593;075611791;075603691;370912136;075635283;075680505;075612127;102048169;
eur-oai-repub.eur.nl-16169;075605902;075607204;075666529;075604094;075619806;07564861X;075604132;075666537;158564022;075599309;07560129X;075606593;075611791;370912136;075635283;075680505;075612127;102048169;075658003;075637162;
eur-oai-repub.eur.nl-16693;075614545;075680114;216584116;075647265;306652005;075603551;207318727;075663791;239541189;075612895;09004147X;123281172;075663120;121906442;075603551;173554237;075615487;395509505;168313251;075647265;
eur-oai-repub.eur.nl-16932;075622580;075623552;075656590;075606895;075609045;155731181;07562172X;075606828;075635712;075609045;075656590;075677857;075606895;075651564;075622580;075598663;341553352;075623552;075619814;331361752;
eur-oai-repub.eur.nl-17103;075669854;075669854;075663015;075614871;075684896;07564861X;075614863;07562575X;075611791;075687690;075613751;07564861X;075661225;075661225;204043565;075684896;075622548;075668262;075614871;07562575X;
eur-oai-repub.eur.nl-17319;31537800X;075659441;075603691;075624613;07566450X;075598558;24391041X;075609045;075659441;075603691;075609509;075661446;075659816;191500151;24391041X;331361752;29153399X;189671599;292322593;075624613;
eur-oai-repub.eur.nl-17340;075663864;075615274;292486073;07566450X;241503647;165977477;375516816;075653451;075615266;31537800X;075598558;297128736;242732836;07564858X;075624613;075664100;07561524X;363409645;075612569;075614464;
eur-oai-repub.eur.nl-17773;075619741;241689473;159340721;177171383;075648539;236400959;270910557;305836161;075599597;300373341;075607522;075660180;323871828;075608391;075619709;075619822;126970432;075606836;075619806;075601052;
eur-oai-repub.eur.nl-17774;241689473;075648539;236400959;159340721;075619741;177171383;182795667;270910557;075607522;126970432;075599597;075660180;075605171;075619822;393656896;305836161;075619709;075620030;174882149;075619806;
eur-oai-repub.eur.nl-18339;075600617;075615363;154134341;075671883;13705601X;075621568;075628899;07562155X;075621576;075673541;075653192;075653192;075624494;075609886;075605244;252057910;075646978;075657147;075626616;075601389;
eur-oai-repub.eur.nl-18619;075665158;075658003;07564861X;37834823X;075647621;075627213;075686775;075648547;075611791;370853911;075599120;075665980;075657945;075637162;075608510;075651378;227450655;075680041;075677504;075660164;
eur-oai-repub.eur.nl-19612;075628732;075658895;291506313;075656892;241689473;075668904;075657147;075658437;075623080;277360307;075601826;292486073;375518096;075600986;29153399X;07566450X;26164419X;075599201;22745944X;242721591;
eur-oai-repub.eur.nl-19706;174882149;393656896;075666529;075605384;075652021;075623080;075657627;075677350;075608510;075619806;237788888;075619814;370912136;075648539;102048169;37834823X;075612127;216028701;075637162;075604094;
eur-oai-repub.eur.nl-19974;075658003;37834823X;075648547;075658003;07564861X;37834823X;370853911;227450655;07564861X;075608510;075651378;121655849;075599120;075619970;075616513;075665980;07560289X;075611791;075647621;075608510;
eur-oai-repub.eur.nl-20833;075603691;075623080;075610086;075619814;075658003;075661446;075609509;075651696;075618788;07566450X;075614146;07560146X;37834823X;075609045;075668904;075665069;07564861X;153900660;315396946;075607492;
eur-oai-repub.eur.nl-20887;075668904;075609045;075623080;07566450X;075651696;29153399X;15383580X;075619814;075603691;264121368;22745944X;075610086;075677857;227408284;315396946;277360307;075656590;371085454;075675021;075614146;
eur-oai-repub.eur.nl-20935;075652021;075604094;075658046;075615193;075637162;075626012;075658003;102048169;075648547;075600099;075661705;370912136;075666529;216028701;075605902;075606593;07566450X;075658895;075605384;075664062;
eur-oai-repub.eur.nl-21807;075660326;075659212;075658003;075608510;075637162;075605902;075604094;37834823X;370912136;075661705;075648547;075616513;075652021;158564022;07564861X;075599120;216028701;291506313;075601419;075647621;
eur-oai-repub.eur.nl-22505;075623226;075623218;075602318;236266306;075602326;07561037X;07559899X;075636204;075636212;075605856;186518420;07562799X;190736542;23524712X;075619490;075677490;075620170;075617293;07562284X;075625784;
eur-oai-repub.eur.nl-22836;075616513;075658003;075619806;37834823X;102048169;075614863;158564022;075612127;075637162;075651378;075661705;075652196;075601419;07564861X;121655849;075648547;075608510;075680041;075666529;075688409;
eur-oai-repub.eur.nl-22837;37834823X;075648547;07560289X;370853911;075660164;075658003;075608510;075658909;075665980;075657147;323940382;075659816;075651378;07564861X;197228631;075624613;29139731X;075658488;075611198;075647621;
eur-oai-repub.eur.nl-22860;075658003;075613786;07564861X;216028701;075637162;37834823X;075609045;371085454;075648547;075652021;075647621;075605902;075607204;075616513;315396946;371085454;075600099;075619970;075619806;075613786;
eur-oai-repub.eur.nl-22989;075611198;07566450X;075613786;075657775;075658488;075663139;075660962;075659816;321640241;323940382;263505294;075661039;264121368;075657147;371085454;371085454;292486073;075613786;264121368;075658488;
eur-oai-repub.eur.nl-23387;07560289X;370853911;37834823X;075665980;075652021;075604094;075618818;237788888;075658046;075660164;075615193;075637162;075626012;075658003;102048169;075648547;075651378;075600099;075661705;370912136;
eur-oai-repub.eur.nl-23388;075603691;075623080;07560146X;075610086;075658003;075661446;075619814;075609509;29139731X;075614146;075651696;07564861X;237788888;37834823X;315396946;075609045;07566450X;075603691;075668904;075647621;
eur-oai-repub.eur.nl-23395;075603691;075603691;075614146;075619814;075610086;07566450X;075661446;075623080;075668904;075623080;07560146X;315396946;075610086;075609509;075609509;075619814;075661446;07560146X;075651696;07566450X;
eur-oai-repub.eur.nl-23410;075603691;075614146;075610086;07566450X;075661446;075623080;07560146X;315396946;075609509;075619814;075651696;075659816;075668904;241546575;075609045;07568473X;075628422;075603691;075651696;075658488;
eur-oai-repub.eur.nl-23511;075658895;07565685X;075615622;075663430;075658909;075663430;075656892;075604248;258321415;292486073;075658895;075664062;242597815;26164419X;139111301;07565685X;075660466;07560938X;075662981;189868236;
eur-oai-repub.eur.nl-23546;075660326;075659212;075599120;37834823X;370853911;075665980;075617102;07560289X;075656590;075651378;24391041X;075660164;075660385;075609290;075678101;07568764X;075620030;241689473;075648539;07562172X;
eur-oai-repub.eur.nl-23547;075616513;075658003;075619806;37834823X;102048169;075614863;158564022;075612127;075637162;075651378;075661705;075601419;07564861X;121655849;075648547;075608510;075680041;075666529;075688409;075647621;
eur-oai-repub.eur.nl-23571;075658003;37834823X;07564861X;089406516;075665980;075608510;075648547;370853911;075616513;075609045;236400959;075599120;075651378;29139731X;121655849;07560289X;075647621;075680041;174882149;075611791;
eur-oai-repub.eur.nl-23581;075603691;075658003;075651696;075623080;075657716;075609045;075609045;075656590;075614391;075617455;075657708;075607786;37834823X;075619814;075661446;075610086;07566450X;07560146X;07566013X;07565881X;
eur-oai-repub.eur.nl-23585;07566450X;07566450X;075657708;31537800X;07560146X;075611198;075658895;075657775;07566450X;323940382;075657147;264121368;075659816;292486073;31537800X;237788888;075623080;075613786;297128736;292486073;
eur-oai-repub.eur.nl-23586;075617250;37834823X;075658003;075665980;07560289X;370853911;075660164;07564861X;075651378;075677504;075647621;075608510;075663368;216028701;121655849;075619970;075616513;075599120;075607204;075602733;
eur-oai-repub.eur.nl-23587;29139731X;24391041X;075609045;267179693;075624613;075651696;075665778;197228631;174882149;075603691;075651696;267797737;237788888;15383580X;075619814;075656590;075609045;075614146;323940382;294702520;
eur-oai-repub.eur.nl-23591;252310012;07565721X;252310012;227696859;075607786;075614391;07566013X;075607786;07565881X;227696859;09004147X;075656833;07565881X;075614391;07998746X;075669854;075660067;07998746X;07565721X;07566013X;
eur-oai-repub.eur.nl-23631;075652021;075604094;075658046;075615193;075637162;075626012;075658003;102048169;075648547;075600099;075661705;370912136;075666529;216028701;075605902;075606593;075605384;180713000;158564022;075599759;
eur-oai-repub.eur.nl-23633;075616513;075605384;075658003;075606895;075619806;075609045;37834823X;102048169;075614863;075656590;158564022;075612127;075637162;075628333;075651378;075661705;075601419;07564861X;075622580;121655849;
eur-oai-repub.eur.nl-23634;075658003;37834823X;07564861X;075665980;075608510;075648547;370853911;075616513;075599120;075651378;121655849;07560289X;075647621;075680041;075611791;075607204;227450655;075628333;393656896;075617250;
eur-oai-repub.eur.nl-26156;075609045;075656590;075628732;075635712;075623552;075628732;075622580;075606828;315396946;07562172X;075606895;075619814;155731181;121683281;075607492;075677857;075623080;174882149;15383580X;331361752;
eur-oai-repub.eur.nl-26184;075619709;121730735;075660180;075648539;31537800X;15383580X;075598558;075609045;331361752;075659905;075656590;240774655;075659816;075677857;075609029;075624613;242721591;194449335;189671599;075619814;
